rank,symbol,company_name,market_cap,stock_price_cad,percent_change,revenue,exchange,source_url,yahoo_symbol,sector,industry,long_name,quote_type,lookup_status
16,AMD,"Advanced Micro Devices, Inc.",757.54B,64.04,2.02%,47.35B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,AMD.TO,Technology,Semiconductors,"Advanced Micro Devices, Inc.",EQUITY,success
17,JNJ,Johnson & Johnson,734.24B,28.97,-1.06%,133.68B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,JNJ.TO,,,Johnson & Johnson,ETF,success
18,ASML,ASML Holding N.V.,727.21B,38.52,-2.51%,53.85B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,ASML.TO,,,ASML Holding N.V.,ETF,success
19,ORAC,Oracle Corporation,705.43B,9.11,1.22%,87.38B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,ORAC.TO,,,Oracle Corporation,ETF,success
20,INTC,Intel Corporation,654.92B,62.14,15.03%,74.58B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,INTC.TO,,,Intel Corporation,ETF,success
21,COST,Costco Wholesale Corporation,611.30B,45.55,0.46%,389.89B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,COST.TO,Consumer Defensive,Discount Stores,Costco Wholesale Corporation,EQUITY,success
22,MA,Mastercard Incorporated,606.74B,30.43,-0.98%,47.37B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,MA.TO,,,Mastercard Incorporated,ETF,success
23,CATR,Caterpillar Inc.,548.16B,62.48,-2.05%,98.76B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CATR.TO,,,Caterpillar Inc.,ETF,success
24,NFLX,"Netflix, Inc.",521.42B,33.6,-2.27%,65.45B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,NFLX.TO,,,"Netflix, Inc.",ETF,success
25,CHEV,Chevron Corporation,517.17B,24.9,0.69%,259.25B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CHEV.TO,,,Chevron Corporation,ETF,success
26,BOFA,Bank of America Corporation,503.88B,26.41,-1.46%,152.97B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,BOFA.TO,,,Bank of America Corporation,ETF,success
27,ABBV,AbbVie Inc.,500.91B,29.01,0.28%,87.69B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,ABBV.TO,,,AbbVie Inc.,ETF,success
28,CSCO,"Cisco Systems, Inc.",497.77B,45.12,1.30%,81.10B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CSCO.TO,,,"Cisco Systems, Inc.",ETF,success
29,PLTR,Palantir Technologies Inc.,476.24B,10.45,-6.28%,7.29B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,PLTR.TO,,,Palantir Technologies Inc.,ETF,success
30,UNH,UnitedHealth Group Incorporated,458.10B,17.04,0.35%,627.74B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,UNH.TO,,,UnitedHealth Group Incorporated,ETF,success
31,COLA,The Coca-Cola Company,457.68B,27.39,-0.76%,68.71B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,COLA.TO,,,The Coca-Cola Company,ETF,success
32,PG,The Procter & Gamble Company,454.35B,23.8,-2.74%,121.04B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,PG.TO,,,The Procter & Gamble Company,ETF,success
33,ROG,Roche Holding AG,439.06B,25.1,-,109.55B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,ROG.TO,,,Roche Holding AG,ETF,success
34,HD,"The Home Depot, Inc.",423.35B,19.48,-0.05%,223.38B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,HD.TO,,,"The Home Depot, Inc.",ETF,success
35,AMAT,"Applied Materials, Inc.",422.57B,43.63,0.30%,38.75B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,AMAT.TO,,,"Applied Materials, Inc.",ETF,success
36,MS,Morgan Stanley,404.14B,38.6,-0.31%,102.14B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,MS.TO,,,Morgan Stanley,ETF,success
37,GE,General Electric Company,398.18B,37.02,1.04%,67.44B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,GE.TO,,,General Electric Company,ETF,success
38,GEV,GE Vernova Inc.,392.62B,74.16,1.58%,54.96B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,GEV.TO,,,GE Vernova Inc.,ETF,success
39,MRK,"Merck & Co., Inc.",380.07B,25.41,1.03%,91.80B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,MRK.TO,,,"Merck & Co., Inc.",ETF,success
40,NVS,Novartis AG,377.41B,27.13,-1.24%,78.97B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,NVS.TO,,,,ETF,success
41,GS,"The Goldman Sachs Group, Inc.",376.77B,43.3,-2.28%,85.89B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,GS.TO,,,"The Goldman Sachs Group, Inc.",ETF,success
42,ZYNS,Philip Morris International Inc.,358.75B,23.35,2.77%,57.92B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,ZYNS.TO,,,Philip Morris International Inc.,ETF,success
43,LVMH,"LVMH MoÃ«t Hennessy - Louis Vuitton, SociÃ©tÃ© EuropÃ©enne",351.53B,18.23,0.11%,130.09B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,LVMH.TO,,,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",ETF,success
44,NSTL,NestlÃ© S.A.,349.36B,23.93,-0.29%,155.42B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,NSTL.TO,,,Nestlé S.A.,ETF,success
45,TXN,Texas Instruments Incorporated,347.79B,29.36,0.24%,25.74B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,TXN.TO,,,Texas Instruments Incorporated,ETF,success
46,RY,Royal Bank of Canada,338.50B,244.18,0.75%,63.42B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,RY.TO,Financial Services,Banks - Diversified,Royal Bank of Canada,EQUITY,success
47,WFCS,Wells Fargo & Company,329.65B,22.17,-2.25%,113.25B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,WFCS.TO,,,Wells Fargo & Company,ETF,success
48,RTX,RTX Corporation,316.77B,39.91,-0.47%,126.15B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,RTX.TO,,,RTX Corporation,ETF,success
49,SMNS,Siemens Aktiengesellschaft,306.31B,30.55,-1.23%,128.31B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,SMNS.TO,,,Siemens Aktiengesellschaft,ETF,success
50,LORL,L'OrÃ©al S.A.,305.58B,23.3,-,70.92B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,LORL.TO,,,L'Oréal S.A.,ETF,success
51,AXP,American Express Company,296.32B,27.28,0.04%,96.05B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,AXP.TO,,,American Express Company,ETF,success
52,ANET,"Arista Networks, Inc.",295.71B,31.23,-0.22%,12.35B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,ANET.TO,,,"Arista Networks, Inc.",ETF,success
53,IBM,International Business Machines Corporation,293.43B,33.99,-1.39%,96.19B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,IBM.TO,,,International Business Machines Corporation,ETF,success
54,CITI,Citigroup Inc.,291.51B,51.91,0.72%,109.90B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CITI.TO,,,Citigroup Inc.,ETF,success
55,PEP,"PepsiCo, Inc.",287.45B,22.96,-2.46%,130.94B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,PEP.TO,,,"PepsiCo, Inc.",ETF,success
56,SAPS,SAP SE,275.13B,13.22,1.69%,60.10B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,SAPS.TO,,,SAP SE,ETF,success
57,MCDS,McDonald's Corporation,274.74B,24.1,-0.95%,36.86B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,MCDS.TO,,,McDonald's Corporation,ETF,success
58,NEE,"NextEra Energy, Inc.",270.97B,30.96,-2.18%,38.90B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,NEE.TO,,,"NextEra Energy, Inc.",ETF,success
59,VZ,Verizon Communications Inc.,270.23B,20.11,-1.47%,194.23B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,VZ.TO,,,Verizon Communications Inc.,ETF,success
60,NOVO,Novo Nordisk A/S,267.31B,18.7,0.70%,66.62B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,NOVO.TO,,,,ETF,success
61,TTES,TotalEnergies SE,266.77B,32.93,1.76%,256.78B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,TTES.TO,,,TotalEnergies SE,ETF,success
62,HRMS,HermÃ¨s International SociÃ©tÃ© en commandite par actions,265.05B,17.91,-4.02%,25.76B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,HRMS.TO,,,,ETF,success
63,DIS,The Walt Disney Company,244.17B,11.41,-1.81%,130.84B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,DIS.TO,,,The Walt Disney Company,ETF,success
64,QCOM,QUALCOMM Incorporated,241.45B,21.96,-4.94%,61.71B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,QCOM.TO,,,QUALCOMM Incorporated,ETF,success
65,TD,The Toronto-Dominion Bank,241.21B,144.98,0.30%,65.98B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,TD.TO,Financial Services,Banks - Diversified,The Toronto-Dominion Bank,EQUITY,success
66,AMGN,Amgen Inc.,237.79B,24.41,-5.57%,51.95B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,AMGN.TO,,,Amgen Inc.,ETF,success
67,BA,The Boeing Company,237.34B,36.86,-2.87%,128.68B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,BA.TO,,,The Boeing Company,ETF,success
68,TMO,Thermo Fisher Scientific Inc.,233.88B,16.65,-1.19%,62.70B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,TMO.TO,,,Thermo Fisher Scientific Inc.,ETF,success
69,SCHN,Schneider Electric S.E.,233.06B,26,-2.22%,64.64B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,SCHN.TO,,,Schneider Electric S.E.,ETF,success
70,TJX,"The TJX Companies, Inc.",232.64B,27.25,-1.70%,81.89B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,TJX.TO,,,"The TJX Companies, Inc.",ETF,success
71,ALZ,Allianz SE,227.30B,30,-,182.19B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,ALZ.TO,,,Allianz SE,ETF,success
72,SHOP,Shopify Inc.,226.30B,158.48,-8.59%,15.84B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,SHOP.TO,Technology,Software - Application,Shopify Inc.,EQUITY,success
73,GILD,"Gilead Sciences, Inc.",224.07B,26.8,-0.37%,40.37B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,GILD.TO,,,"Gilead Sciences, Inc.",ETF,success
74,BLK,"BlackRock, Inc.",222.41B,27,-1.06%,35.79B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,BLK.TO,,,"BlackRock, Inc.",ETF,success
75,ISRG,"Intuitive Surgical, Inc.",217.95B,23.61,-1.46%,14.77B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,ISRG.TO,,,"Intuitive Surgical, Inc.",ETF,success
76,APPS,AppLovin Corporation,217.30B,14.97,2.89%,7.51B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,APPS.TO,,,AppLovin Corporation,ETF,success
77,SCHW,The Charles Schwab Corporation,216.32B,27.18,-1.09%,34.62B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,SCHW.TO,,,,ETF,success
78,UNP,Union Pacific Corporation,212.76B,26.86,-0.74%,34.48B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,UNP.TO,,,Union Pacific Corporation,ETF,success
79,DEER,Deere & Company,212.54B,29.73,-0.03%,63.39B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,DEER.TO,,,Deere & Company,ETF,success
80,ABT,Abbott Laboratories,207.44B,15.46,-2.34%,63.00B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,ABT.TO,,,Abbott Laboratories,ETF,success
81,CRM,"Salesforce, Inc.",206.43B,14.09,-1.54%,56.32B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CRM.TO,,,"Salesforce, Inc.",ETF,success
82,UBER,"Uber Technologies, Inc.",204.86B,10.97,-0.36%,71.32B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,UBER.TO,,,"Uber Technologies, Inc.",ETF,success
83,PANW,"Palo Alto Networks, Inc.",203.63B,21.64,-0.73%,13.42B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,PANW.TO,,,"Palo Alto Networks, Inc.",ETF,success
84,PFE,Pfizer Inc.,203.53B,11.72,-0.85%,87.83B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,PFE.TO,,,Pfizer Inc.,ETF,success
85,UBSS,UBS Group AG,184.52B,28.36,4.88%,71.62B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,UBSS.TO,,,,ETF,success
86,HON,Honeywell International Inc.,180.68B,23.87,-1.12%,52.57B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,HON.TO,,,Honeywell International Inc.,ETF,success
87,BKNG,Booking Holdings Inc.,174.55B,27.07,-2.20%,38.65B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,BKNG.TO,,,Booking Holdings Inc.,ETF,success
88,SPGI,S&P Global Inc.,171.03B,20.2,-0.20%,21.96B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,SPGI.TO,,,S&P Global Inc.,ETF,success
89,SBUX,Starbucks Corporation,162.76B,28.92,-0.82%,53.37B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,SBUX.TO,,,Starbucks Corporation,ETF,success
90,ENB,Enbridge Inc.,162.58B,74.86,0.48%,65.19B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,ENB.TO,Energy,Oil & Gas Midstream,Enbridge Inc.,EQUITY,success
91,LMT,Lockheed Martin Corporation,162.53B,29.65,0.95%,104.19B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,LMT.TO,,,Lockheed Martin Corporation,ETF,success
92,CRWD,"CrowdStrike Holdings, Inc.",162.52B,37.15,1.39%,6.53B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CRWD.TO,,,"CrowdStrike Holdings, Inc.",ETF,success
93,CEGS,Constellation Energy Corporation,158.24B,22.08,0.09%,35.01B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CEGS.TO,,,Constellation Energy Corporation,ETF,success
94,SNY,Sanofi,148.63B,20.63,0.68%,76.21B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,SNY.TO,,,Sanofi,ETF,success
95,BMO,Bank of Montreal,143.90B,205.66,0.74%,33.48B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,BMO.TO,Financial Services,Banks - Diversified,Bank of Montreal,EQUITY,success
96,CVS,CVS Health Corporation,142.99B,19.83,-,548.22B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CVS.TO,,,CVS Health Corporation,ETF,success
97,ADBE,Adobe Inc.,139.65B,9.63,-1.23%,33.35B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,ADBE.TO,,,Adobe Inc.,ETF,success
98,CM,Canadian Imperial Bank of Commerce,137.75B,150.88,0.81%,27.91B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CM.TO,Financial Services,Banks - Diversified,Canadian Imperial Bank of Commerce,EQUITY,success
99,BN,Brookfield Corporation,137.01B,62.11,1.42%,106.48B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,BN.TO,Financial Services,Asset Management,Brookfield Corporation,EQUITY,success
100,CNQ,Canadian Natural Resources Limited,135.12B,64.77,0.03%,38.76B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CNQ.TO,Energy,Oil & Gas E&P,Canadian Natural Resources Limited,EQUITY,success
101,BX,Blackstone Inc.,131.54B,15.56,-3.35%,20.10B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,BX.TO,,,Blackstone Inc.,ETF,success
102,NOWS,"ServiceNow, Inc.",129.04B,11.8,0.68%,19.49B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,NOWS.TO,,,"ServiceNow, Inc.",ETF,success
103,BNS,The Bank of Nova Scotia,128.42B,104.63,0.33%,33.25B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,BNS.TO,Financial Services,Banks - Diversified,The Bank of Nova Scotia,EQUITY,success
104,KKR,KKR & Co. Inc.,125.33B,22.53,-,35.17B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,KKR.TO,,,,ETF,success
105,WAST,"Waste Management, Inc.",124.48B,21.62,-2.17%,35.47B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,WAST.TO,,,"Waste Management, Inc.",ETF,success
106,AEM,Agnico Eagle Mines Limited,122.40B,245.85,0.45%,18.90B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,AEM.TO,Basic Materials,Gold,Agnico Eagle Mines Limited,EQUITY,success
107,ABNB,"Airbnb, Inc.",112.31B,23.7,-0.46%,16.78B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,ABNB.TO,,,"Airbnb, Inc.",ETF,success
108,UPS,"United Parcel Service, Inc.",111.33B,12.4,1.89%,123.28B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,UPS.TO,,,"United Parcel Service, Inc.",ETF,success
109,SU,Suncor Energy Inc.,110.74B,94.22,0.99%,48.91B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,SU.TO,Energy,Oil & Gas Integrated,Suncor Energy Inc.,EQUITY,success
110,INGS,ING Groep N.V.,109.59B,33.82,-2.82%,39.61B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,INGS.TO,,,ING Groep N.V.,ETF,success
111,BAM,Brookfield Asset Management Ltd.,104.29B,65.39,0.86%,6.60B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,BAM.TO,Financial Services,Asset Management,Brookfield Asset Management Ltd.,EQUITY,success
112,MMMM,3M Company,100.45B,22.5,-,34.93B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,MMMM.TO,,,3M Company,ETF,success
113,CP,Canadian Pacific Kansas City Limited,100.38B,113.88,0.72%,14.98B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CP.TO,Industrials,Railroads,Canadian Pacific Kansas City Limited,EQUITY,success
114,HOOD,"Robinhood Markets, Inc.",93.78B,12.63,3.78%,6.44B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,HOOD.TO,,,"Robinhood Markets, Inc.",ETF,success
115,TRP,TC Energy Corporation,93.72B,89.89,-0.06%,15.48B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,TRP.TO,Energy,Oil & Gas Midstream,TC Energy Corporation,EQUITY,success
116,CNR,Canadian National Railway Company,90.48B,150.13,0.81%,17.28B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CNR.TO,Industrials,Railroads,Canadian National Railway Company,EQUITY,success
117,MFC,Manulife Financial Corporation,87.71B,52.98,1.01%,30.98B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,MFC.TO,Financial Services,Insurance - Life,Manulife Financial Corporation,EQUITY,success
118,ABX,Barrick Mining Corporation,87.41B,52.96,1.51%,23.25B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,ABX.TO,Basic Materials,Gold,Barrick Mining Corporation,EQUITY,success
119,MSTR,Strategy Inc,87.21B,12.7,4.18%,654.34M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,MSTR.TO,,,Strategy Inc,ETF,success
120,NKE,"NIKE, Inc.",86.81B,7.79,-2.99%,63.44B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,NKE.TO,,,"NIKE, Inc.",ETF,success
121,IMO,Imperial Oil Limited,85.91B,180.2,1.44%,46.85B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,IMO.TO,Energy,Oil & Gas Integrated,Imperial Oil Limited,EQUITY,success
122,OXY,Occidental Petroleum Corporation,81.31B,25.26,2.02%,29.61B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,OXY.TO,,,Occidental Petroleum Corporation,ETF,success
123,,National Bank of Canada,78.21B,204.51,0.82%,13.45B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,NAN.TO,,,,,success
124,AZO,"AutoZone, Inc.",78.06B,21.35,-5.41%,26.71B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,AZO.TO,,,"AutoZone, Inc.",ETF,success
125,WPM,Wheaton Precious Metals Corp.,76.77B,171.42,1.41%,3.17B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,WPM.TO,Basic Materials,Gold,Wheaton Precious Metals Corp.,EQUITY,success
126,CVE,Cenovus Energy Inc.,76.67B,40.82,0.07%,49.70B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CVE.TO,Energy,Oil & Gas Integrated,Cenovus Energy Inc.,EQUITY,success
127,BMW,Bayerische Motoren Werke Aktiengesellschaft,73.45B,22.8,-3.72%,214.84B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,BMW.TO,,,,ETF,success
128,ATD,Alimentation Couche-Tard Inc.,73.14B,79.7,0.06%,99.41B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,ATD.TO,Consumer Cyclical,Specialty Retail,Alimentation Couche-Tard Inc.,EQUITY,success
129,COIN,"Coinbase Global, Inc.",72.76B,12.4,6.16%,9.44B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,COIN.TO,,,"Coinbase Global, Inc.",ETF,success
130,L,Loblaw Companies Limited,72.14B,62.6,1.00%,63.90B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,L.TO,Consumer Defensive,Grocery Stores,Loblaw Companies Limited,EQUITY,success
131,BENZ,Mercedes-Benz Group AG,71.98B,21.1,1.01%,210.18B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,BENZ.TO,,,Mercedes-Benz Group AG,ETF,success
132,CCO,Cameco Corporation,70.22B,160.92,-0.19%,3.54B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CCO.TO,Energy,Uranium,Cameco Corporation,EQUITY,success
133,CLS,Celestica Inc.,65.90B,575.4,0.39%,19.25B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CLS.TO,Technology,Electronic Components,Celestica Inc.,EQUITY,success
134,GWO,Great-West Lifeco Inc.,65.65B,73.31,0.52%,35.45B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,GWO.TO,Financial Services,Insurance - Life,Great-West Lifeco Inc.,EQUITY,success
135,F,Ford Motor Company,62.34B,9.78,-3.17%,265.02B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,F.TO,,,Ford Motor Company,ETF,success
136,PYPL,"PayPal Holdings, Inc.",61.68B,3.27,-9.67%,45.48B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,PYPL.TO,,,"PayPal Holdings, Inc.",ETF,success
137,FNV,Franco-Nevada Corporation,58.77B,306.47,0.53%,2.47B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,FNV.TO,Basic Materials,Gold,Franco-Nevada Corporation,EQUITY,success
138,TRI,Thomson Reuters Corporation,57.81B,133.53,2.32%,10.25B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,TRI.TO,Industrials,Specialty Business Services,Thomson Reuters Corporation,EQUITY,success
139,CMGS,"Chipotle Mexican Grill, Inc.",55.81B,12.72,-1.78%,16.94B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CMGS.TO,,,"Chipotle Mexican Grill, Inc.",ETF,success
140,WCN,"Waste Connections, Inc.",55.52B,214.9,-1.68%,13.41B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,WCN.TO,Industrials,Waste Management,"Waste Connections, Inc.",EQUITY,success
141,SLF,Sun Life Financial Inc.,54.39B,99.33,1.17%,34.88B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,SLF.TO,Financial Services,Insurance - Diversified,Sun Life Financial Inc.,EQUITY,success
142,CSU,Constellation Software Inc.,52.36B,"2,452.00",-0.77%,15.94B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,CSU.TO,Technology,Software - Application,Constellation Software Inc.,EQUITY,success
143,FFH,Fairfax Financial Holdings Limited,50.95B,"2,242.83",1.48%,53.85B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,FFH.TO,Financial Services,Insurance - Property & Casualty,Fairfax Financial Holdings Limited,EQUITY,success
144,NTR,Nutrien Ltd.,49.62B,103.59,0.38%,35.58B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,NTR.TO,Basic Materials,Agricultural Inputs,Nutrien Ltd.,EQUITY,success
145,POW,Power Corporation of Canada,47.59B,76.41,0.90%,38.77B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,POW.TO,Financial Services,Insurance - Life,Power Corporation of Canada,EQUITY,success
146,K,Kinross Gold Corporation,46.93B,39.59,0.74%,11.11B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,K.TO,Basic Materials,Gold,Kinross Gold Corporation,EQUITY,success
147,DOL,Dollarama Inc.,46.32B,172.91,1.42%,7.26B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,DOL.TO,Consumer Defensive,Discount Stores,Dollarama Inc.,EQUITY,success
148,IFC,Intact Financial Corporation,45.69B,259.91,0.71%,26.07B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,IFC.TO,Financial Services,Insurance - Property & Casualty,Intact Financial Corporation,EQUITY,success
149,FISV,"Fiserv, Inc.",45.55B,6.41,0.63%,29.06B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,FISV.TO,,,"Fiserv, Inc.",ETF,success
150,RDDT,"Reddit, Inc.",44.28B,16.32,0.68%,3.45B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,RDDT.TO,,,"Reddit, Inc.",ETF,success
151,FTS,Fortis Inc.,39.46B,78.28,0.99%,12.17B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,FTS.TO,Utilities,Utilities - Regulated Electric,Fortis Inc.,EQUITY,success
152,TECK.A,Teck Resources Limited,37.85B,79.28,3.04%,12.41B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,TECK-A.TO,Basic Materials,Other Industrial Metals & Mining,Teck Resources Limited,EQUITY,success
153,TECK.B,Teck Resources Limited,37.85B,78.66,1.75%,12.41B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,TECK-B.TO,Basic Materials,Other Industrial Metals & Mining,Teck Resources Limited,EQUITY,success
154,QSR,Restaurant Brands International Inc.,37.82B,110.4,1.37%,12.94B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,QSR.TO,Consumer Cyclical,Restaurants,Restaurant Brands International Inc.,EQUITY,success
155,PPL,Pembina Pipeline Corporation,36.85B,63.21,-0.30%,7.78B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,PPL.TO,Energy,Oil & Gas Midstream,Pembina Pipeline Corporation,EQUITY,success
156,WN,George Weston Limited,36.43B,97.17,0.93%,64.51B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,WN.TO,Consumer Defensive,Grocery Stores,George Weston Limited,EQUITY,success
157,QSP.UN,Restaurant Brands International Limited Partnership,36.11B,107.6,-,12.94B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,QSP-UN.TO,Consumer Cyclical,Restaurants,Restaurant Brands International Limited Partnership,EQUITY,success
